	coef	exp(coef)	se(coef)	z	Pr(>|z|)
Gender	-24.0242742236414	3.68459936518711e-11	1.03396857973094	-23.2350138046679	2.0165684783184e-119
Smoking	36.2750101393403	5675926128089137	1.03396858178124	35.0832808448092	1.21259870317429e-269
drinking	-41.1088598502611	1.40168042952392e-18	9097.05839291639	-0.00451891788254007	0.996394437461293
NM	0.399466527590364	1.49102906256861	1.2322771082583	0.324169397380895	0.745809789484258
Mcm	58.0600025889742	1.64111397471465e+25	1.03396858466214	56.1525789566867	0
Mutation_P	-0.000612448102687999	0.99938773940537	0.00303275620510099	-0.201944390273733	0.839960198499212
Mutation_M	-0.00494587868060516	0.995066332038151	0.00427863125143869	-1.15594880464216	0.247702098198844
ShareRatio	-5.41741575901829	0.00443860225728325	2.32098891042058	-2.33409807978644	0.0195905868294781
