	exp.coef.	lower..95	upper..95
Gender	3.68459936518711e-11	4.85595465056813e-12	2.79579886116706e-10
Smoking	5675926128089137	748033559024883	43067770186034232
drinking	1.40168042952392e-18	0	Inf
NM	1.49102906256861	0.133220154325873	16.6879229098181
Mcm	1.64111397471465e+25	2.16283350529252e+24	1.24524383010215e+26
Mutation_P	0.99938773940537	0.993464906177835	1.00534588334516
Mutation_M	0.995066332038151	0.986756633550441	1.00344600835688
ShareRatio	0.00443860225728325	4.69479774540225e-05	0.419638737742299
